"block_number","contract_address","base_fees","transaction_count","base_fees_256"
12965002,"0x37d7f26405103c9bc9d8f9352cf32c5b655cbe02",193331871746117,2.0,193331871746117
12965002,"0x3b3ee1931dc30c1957379fac9aba94d1c48a5405",1101861454001646,3.0,1101861454001646
12965002,"0x41e5560054824ea6b0732e656e3ad64e20e94e45",59692608979991,1.0,59692608979991
12965002,"0x491d6b7d6822d5d4bc88a1264e1b47791fd8e904",478219153801584,8.0,478219153801584
12965002,"0x49791b39b8cb01ad5f207c296123fd772d5c0d62",187277952148053,1.0,187277952148053
12965002,"0x4a9d6b95459eb9532b7e4d82ca214a3b20fa2358",732944401237516,3.0,732944401237516
12965002,"0x51cb34ffdb03e498054f069b61bc5b6ab73ace27",273004693212277,1.0,273004693212277
12965002,"0x58b6a8a3302369daec383334672404ee733ab239",151074652444664,3.0,151074652444664
12965002,"0x5a75a093747b72a0e14056352751edf03518031d",68049650164275,1.0,68049650164275
12965002,"0x5aa653a076c1dbb47cec8c1b4d152444cad91941",174779088462836,1.0,174779088462836
12965002,"0x5f16ba80a1f620055e35215028e90808c7cc365c",27121154854872,1.0,27121154854872
12965002,"0x60f80121c31a0d46b5279700f9df786054aa5ee5",58977628927126,1.0,58977628927126
12965002,"0x687d401162e47e7003b2871203fa4b1bbf327c39",195774192988647,3.0,195774192988647
12965002,"0x6b175474e89094c44da98b954eedeac495271d0f",59514180329630,1.0,59514180329630
12965002,"0x6b26aa7d680c636e91b0fb542bd5b87d2ee0881a",90775892234014,1.0,90775892234014
12965002,"0x6b3595068778dd592e39a122f4f5a5cf09c90fe2",65399794888701,1.0,65399794888701
12965002,"0x6c5ba91642f10282b576d91922ae6448c9d52f4e",62181751925098,1.0,62181751925098
12965002,"0x6c6859b1a764e3f4c9984e9d55f9e70b3c03e81a",455108214499861,1.0,455108214499861
12965002,"0x6f2235864cf897078fcdcc2854b76c482cd16874",317271449370278,1.0,317271449370278
12965002,"0x72c40ef11c61f91d579a67e653b9ed5197bc9d46",500794807152224,1.0,500794807152224
12965002,"0x74b79c5268e6bea96f05c41c700c4409de768488",100640086060709,1.0,100640086060709
12965002,"0x77d200eca7fd0a3db27e96d7b24cf7613b0a2a12",760014938035548,1.0,760014938035548
12965002,"0x7a250d5630b4cf539739df2c5dacb4c659f2488d",325885377193025,6.0,325885377193025
12965002,"0x7be8076f4ea4a4ad08075c2508e481d6c946d12b",1429919611284528,8.0,1429919611284528
12965002,"0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9",255843906492096,1.0,255843906492096
12965002,"0x7fc4012bf86d8aaef4951bb7b486ea02c08c419f",58074096612532,2.0,58074096612532
12965002,"0x80382498fb3f3de2854279d7806a0b780c83f39c",65104944707608,2.0,65104944707608
12965002,"0x81a524d2efbd53f1b4ebe3fc02e48d847933130d",3221519158656487,1.0,3221519158656487
12965002,"0x82458d1c812d7c930bb3229c9e159cbabd9aa8cb",880633971131005,5.0,880633971131005
12965002,"0x881d40237659c251811cec9c364ef91dc08d300c",336999837023668,2.0,336999837023668
12965002,"0x89f2e26f20bf66bbfac947a3b628b4b4724aaa5c",200532290331607,1.0,200532290331607
12965002,"0x8cb38a75ecd8572af23a8d086e9bda96ca521889",345849138810721,1.0,345849138810721
12965002,"0x8e870d67f660d95d5be530380d0ec0bd388289e1",77882207705445,1.0,77882207705445
12965002,"0x8f50d27c534cdd8ff8507d1e67ae91ce713e591b",99544205130123,1.0,99544205130123
12965002,"0x9229de7aeb694be7af8b00f1029d8813e5ab9eee",32552472353804,1.0,32552472353804
12965002,"0x94235659cf8b805b2c658f9ea2d6d6ddbb17c8d7",676277486605136,2.0,676277486605136
12965002,"0x95aa5d2dbd3c16ee3fdea82d5c6ec3e38ce3314f",40012308480599,1.0,40012308480599
12965002,"0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce",70994355620942,2.0,70994355620942
12965002,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48",831822978920193,11.0,831822978920193
12965002,"0xa393473d64d2f9f026b60b6df7859a689715d092",59735634328305,1.0,59735634328305
12965002,"0xa5409ec958c83c3f309868babaca7c86dcb077c1",312643693523681,1.0,312643693523681
12965002,"0xa57d319b3cf3ad0e4d19770f71e63cf847263a0b",71977611375059,1.0,71977611375059
12965002,"0xa80f2c8f61c56546001f5fc2eb8d6e4e72c45d4c",165424871558804,4.0,165424871558804
12965002,"0xa8b39829ce2246f89b31c013b8cde15506fb9a76",243738598198810,1.0,243738598198810
12965002,"0xabea9132b05a70803a4e85094fd0e1800777fbef",223791287449587,2.0,223791287449587
12965002,"0xaea3f88b62e87f7bf5e99972a22439071b3a0135",73317724429898,1.0,73317724429898
12965002,"0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb",53966441299966,1.0,53966441299966
12965002,"0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac",131566453338528,2.0,131566453338528
12965002,"0xb753428af26e81097e7fd17f40c88aaa3e04902c",126089579588440,3.0,126089579588440
12965002,"0xb8169f6d97c66c50ef27b7b1b3fb2875d2b036a4",252882750166956,2.0,252882750166956
12965002,"0xba12222222228d8ba445958a75a0704d566bf2c8",225278192869262,1.0,225278192869262
12965002,"0xbb97e381f1d1e94ffa2a5844f6875e6146981009",541144991162230,7.0,541144991162230
12965002,"0xbd530a1c060dc600b951f16dc656e4ea451d1a2d",2737843378327551,6.0,2737843378327551
12965002,"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2",58671389683244,1.0,58671389683244
12965002,"0xc03a1ff13d6390de924aad5d847eaf48315ed6b5",101989057275495,1.0,101989057275495
12965002,"0xc20e47e394a3948e7e5c48c7b0ca2b7dc115206a",1167039794891672,2.0,1167039794891672
12965002,"0xc46e0e7ecb3efcc417f6f89b940ffaff72556382",103935321560993,1.0,103935321560993
12965002,"0xca3d75ac011bf5ad07a98d02f18225f9bd9a6bdf",58458793844516,1.0,58458793844516
12965002,"0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25",160856591928994,3.0,160856591928994
12965002,"0xcd62b1c403fa761baadfc74c525ce2b51780b184",617292264969484,1.0,617292264969484
12965002,"0xd22e79bfb566697657b967e0ca8f9194719ba551",52509906714395,1.0,52509906714395
12965002,"0xd48c6a5c3046a29a57dad9b6453769c674b7d22f",108145478438660,4.0,108145478438660
12965002,"0xd533a949740bb3306d119cc777fa900ba034cd52",59111766777752,1.0,59111766777752
12965002,"0xd54f502e184b6b739d7d27a6410a67dc462d69c8",133352005293559,1.0,133352005293559
12965002,"0xd91b06ce5a57d271f605bd58d31184b670032145",140503071273630,1.0,140503071273630
