"hash","number","mined_at","tips","base_fee_sum","contract_creation_sum","eth_transfer_sum","gas_used","base_fee_per_gas","eth_price","base_fee_sum_256"
"0xd2f45d00c7ae9d6d10cae096cad4982a4a2deddc58a928021fa646d35182ac83",12965105,"2021-08-05 14:59:01+02",33726236008543508,253682169165322208,0.0,4214937065010000,6319579,40142257762,2611.166708497,253682169165322198
"0x5d02fe111e7666a49a32ecc325729aa397d3eed57069b5896004148ddbc80549",12965106,"2021-08-05 14:59:04+02",318975474123714500,1083271981325656450,0.0,37604164861872000,29037692,37305719109,2611.166708497,1083271981325656428
"0x0d592042785b993663b72cf7d68a5a26b830ba79e3049e71e2e2576710d6a15b",12965107,"2021-08-05 14:59:32+02",23594066462401804,116225302770120768,10093102544428696,3525139034340000,2769515,41965940885,2611.166708497,116225302770120775
"0x224be008704b18e9248efd476b86b4890584baa284eca81b256405e7619888b8",12965108,"2021-08-05 14:59:36+02",0.0,0.0,0.0,0.0,0,37721496602,2611.166708497,0
"0x33202facfb406c43b651fc493059419fade2221876b3bd0d82584f237fe579b2",12965109,"2021-08-05 14:59:37+02",283855928863752288,957335432426705150,0.0,35349757503417000,29004619,33006309527,2611.166708497,957335432426705213
"0xdae12fd50c606674b75714950367b231fa887c170a4db267097dc0a552cf9122",12965110,"2021-08-05 14:59:50+02",67799550060515416,444514368692686850,0.0,14814118443999000,11972446,37128116401,2611.166708497,444514368692686846
"0x4cc24ed224416d2a1d6ef1ab64758f87b9ceeedf56890e2b0ebe5ed273c1dbf6",12965111,"2021-08-05 14:59:58+02",0.0,0.0,0.0,0.0,0,36312927336,2611.166708497,0
"0xb68f1fa91b38dc2797dd65c774d76cd9d76e23e343a2a771c42477216fea5d2b",12965112,"2021-08-05 14:59:59+02",162150552063828128,922799560613013500,0.0,64723253860503000,29042772,31773811419,2611.166708497,922799560613013468
"0xdee0b4362f72738d4c9d2c99fc1fc2f2bfc195971a620c05439a505b02030463",12965113,"2021-08-05 15:00:01+02",1059250456175268860,1038547987926226560,0.0,19516442814414000,29054844,35744400759,2604.544669783,1038547987926226596
"0x81451ed4563a6da0b08a468fff366b6753abe5d85bf0a69a04cefdf386e794f0",12965114,"2021-08-05 15:00:19+02",45520396691926024,493996826462925180,0.0,41372143852914000,12286594,40206165066,2604.544669783,493996826462925204
"0x287b4b0a49fe81d5b8b52dc546385da512ff36c9ed441b1c93177662b099f788",12965115,"2021-08-05 15:00:40+02",3073133607687066100,1148243309590585600,0.0,4967400769632000,29125626,39423815632,2604.544669783,1148243309590585632
"0xccc9a7c1993eed427d495ad8da5ddbba38039241f14a2669d0c74cd87c10008c",12965116,"2021-08-05 15:00:59+02",504948475342281920,1289851824724107520,0.0,11176099099200000,29083731,44349599600,2604.544669783,1289851824724107600
"0xb210b83da780b261b3ed0a4d8d2a210311903d4bf433d01ff4c13081fd0a4f21",12965117,"2021-08-05 15:01:01+02",489897596464428160,805983219828180610,11997861817626450,12571198252200000,16156596,49885707350,2618.540621881,805983219828180600
"0xac07947ac0f699cffae47d1c78f9b1d165dd18ee2b78059caf8a93f80a4220d2",12965118,"2021-08-05 15:01:15+02",179900610159758592,291897856622423620,0.0,1061899092786000,5772540,50566623466,2618.540621881,291897856622423640
"0x242b6620ff607330de38927373192c56c4976facf2c0697d42f6030f99e6498a",12965119,"2021-08-05 15:01:20+02",179776441991841312,1361441784172953860,0.0,4908571905405000,29122806,46748303861,2618.540621881,1361441784172953966
