"hash","number","mined_at","tips","base_fee_sum","contract_creation_sum","eth_transfer_sum","gas_used","base_fee_per_gas","eth_price"
"0xf75c888e1cfffe93b1c6d690f5bb268474b50a4558c8e735a51efed65b4be775",13660526,"2021-11-21 21:22:13+00",5.428901357171499e+17,1.6518711808190643e+18,0,8.5954222027968e+16,12914519,127908068494,4373.09895277
"0x4d412632e183fbea490cae9386ecce522c7c6126166254eabeb77d44d1f36650",13660527,"2021-11-21 21:22:19+00",2.108788020362961e+17,3.0261052638107075e+18,0,9.76678190430383e+17,24074294,125698608807,4373.09895277
"0x341178927a055767435e5cfd5f94fe8eb7720f9f90a50b57f1f120e2cd733789",13660528,"2021-11-21 21:22:30+00",1.7254533234774538e+17,2.5897234260609224e+18,0,2.4426718741727446e+17,19147232,135253149179,4373.09895277
"0x1dfc1c82532981f60392aae362d58f2f02322fb60ceab0a52cf303f7c414490d",13660529,"2021-11-21 21:22:50+00",2.6640752405334636e+16,5.869146868116742e+17,0,4.1144902940358e+16,4193786,139948649457,4373.09895277
"0xa8165460daec5ad52e3ac49c4f67ea76aaa73716adf9de4b16a534e5c5a8ab34",13660530,"2021-11-21 21:22:53+00",1.609235749531069e+17,1.7524501757767956e+18,0,1.658169847603081e+17,13760292,127355595054,4373.09895277
"0x797b84059733f7f342aacd174da471973fe6872ca73481fa5dbd010d7f728c61",13660531,"2021-11-21 21:23:03+00",1.9881403387576557e+17,2.180318663051914e+18,0,1.720639835692047e+17,17296676,126054200417,4373.09895277
"0x30ec3f45f5fc0457c8da2dd911070ca6e3e858dde79d4d27b07d829254ecdb89",13660532,"2021-11-21 21:23:20+00",3.4154452677418074e+17,3.8493194474110546e+18,0,2.5898906807827136e+17,29963535,128466799642,4373.09895277
"0xe549e2c192a3e26daabcdd1ac122e6bfa4dff5c895d939865b9629b3b50e644c",13660533,"2021-11-21 21:24:16+00",4.205288396672757e+17,4.325071803982043e+18,0,2.8224279352772928e+17,29927656,144517559410,4373.09895277
"0x9a6d009c9fa7bcc8fc12a6a88c25bcc718fed55e7a1ca2cf3f8e7cbde231351a",13660534,"2021-11-21 21:24:22+00",1.3126400538091046e+17,1.2610712824951037e+18,1.9216764625572765e+17,2.3214385923699565e+17,7757301,162565727757,4373.04016933
"0x4686f4a7626e33ee386f7f6f4fe5d0fd776ee457fb4ab736c62dbf1ecbe57599",13660535,"2021-11-21 21:24:35+00",2.300867713142665e+17,3.37132203316264e+18,1.805813995876843e+17,3.0476468174848557e+17,22068789,152764251503,4373.04016933
"0x291751772d32abd51060c61ebc0aee9243c340e9d8aedcc73c6759c017cf2ba0",13660536,"2021-11-21 21:24:57+00",1.1701937689596174e+16,3.0782680603620966e+17,0,6.79405461819e+16,1902947,161763205195,4373.04016933
"0x22289cce3d8e79686e92f8737b78338544982ce58673512938b4dcd506518137",13660537,"2021-11-21 21:25:04+00",1.4677586781239936e+17,2.3948486785527296e+18,0,1.1197389546189e+17,16618136,144110547570,4373.04016933
"0x21928d200336196377e49a9148edc03e084f377977d4bf02b0c79be6cfbebe52",13660538,"2021-11-21 21:25:08+00",1.2470114446097069e+17,1.197821026148136e+18,0,7.3611173596464e+16,8201225,146053915866,4373.04016933
